player_name,team_name,goals
Erling Haaland,Manchester City FC,14
Thiago Rodrigues,Brentford FC,8
Antoine Semenyo,AFC Bournemouth,6
Jean-Philippe Mateta,Crystal Palace FC,6
Danny Welbeck,Brighton & Hove Albion FC,6
Bryan Mbeumo,Manchester United FC,5
Mohamed Salah,Liverpool FC,4
Wilson Isidor,Sunderland AFC,4
Richarlison,Tottenham Hotspur FC,4
João Pedro,Chelsea FC,4
Jaidon Anthony,Burnley FC,4
Viktor Gyökeres,Arsenal FC,4
Iliman Ndiaye,Everton FC,4
Nick Woltemade,Newcastle United FC,4
Eli Kroupi,AFC Bournemouth,4
Hugo Ekitike,Liverpool FC,3
Cody Gakpo,Liverpool FC,3
Lucas Paquetá,West Ham United FC,3
Pedro Neto,Chelsea FC,3
Enzo Fernández,Chelsea FC,3
Moisés Caicedo,Chelsea FC,3
Bukayo Saka,Arsenal FC,3
Ismaïla Sarr,Crystal Palace FC,3
Ryan Gravenberch,Liverpool FC,3
Bruno Guimarães,Newcastle United FC,3
Jarrod Bowen,West Ham United FC,3
Mickey van de Ven,Tottenham Hotspur FC,3
Kevin Schade,Brentford FC,3
Casemiro,Manchester United FC,3
Emiliano Buendía,Aston Villa FC,3
Donyell Malen,Aston Villa FC,3
Zian Flemming,Burnley FC,3
Federico Chiesa,Liverpool FC,2
Daniel Ballard,Sunderland AFC,2
Brennan Johnson,Tottenham Hotspur FC,2
Chris Wood,Nottingham Forest FC,2
Lukas Nmecha,Leeds United FC,2
Trevoh Chalobah,Chelsea FC,2
João Palhinha,Tottenham Hotspur FC,2
Marcus Tavernier,AFC Bournemouth,2
